CytScore.log2,Taxane.MitosisScore,Taxane.CeramideScore,Taxane.FinalScore,STAT1.gsva,GGI.gsva,GEP.gsva,ESC.gsva,STAT1.ssgsea.norm,GGI.ssgsea.norm,GEP.ssgsea.norm,ESC.ssgsea.norm,STAT1.ssgsea.notnorm,GGI.ssgsea.notnorm,ESC.ssgsea.notnorm,Swanton.MitosisScore,Swanton.CeramideScore,Swanton.PaclitaxelScore,B2M,TAP1,TAP2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.E,HLA.F,PD.1,CTLA.4,LAG3,TIGIT,TIM3,PD.L1,PD.L2,CD27,ICOS,IDO1,TIDE.Dysfunction,TIDE.Exclusion,TIDE.MDSC,TIDE.CAF,TIDE.TAM.M2,TIDE.IFNG,TIDE.CD274,TIDE.CD8
4.974,5.54381237,3.611830309,1.931982061,0.498,0.636,0.347,0.574,1.587,1.716,1.654,1.781,22666.825,24517.729,25445.453,5.54381237,3.611830309,1.931982061,4.82134,3.76919,2.30464,4.91573,5.06642,4.65329,2.79003,2.86163,3.98952,2.97307,-0.77229,-0.87601,-1.32881,-0.55023,-1.29254,-1.04802,-1.01662,1.25584,0.708,-2.69911,-1.03,-0.62,0.1,-0.15,-0.06,0.34,0.67,0.15
5.176,3.812038235,3.768022362,0.044015873,0.668,0.482,0.788,0.373,1.618,1.599,1.763,1.702,23112.899,22843.518,24313.552,3.812038235,3.768022362,0.044015873,5.14782,3.30496,1.51036,4.90201,5.17419,4.89992,3.5859,3.83478,4.34645,2.65563,-1.26558,-1.16216,-1.416,-0.92718,-1.68245,-0.94831,-1.321,2.18403,0.94762,-2.09166,0.84,-1.22,-0.06,-0.1,-0.02,0.85,0.42,0.82
6.365,3.208775398,3.835892013,-0.627116616,0.805,-0.321,0.841,-0.123,1.738,1.485,1.865,1.682,24835.863,21212.68,24028.108,3.208775398,3.835892013,-0.627116616,5.50118,3.78012,1.89671,5.26195,5.43677,5.27558,4.26884,4.38676,4.64418,3.1003,-1.62507,-1.64078,-2.20303,-1.43888,-2.17189,-1.28626,-2.00537,2.76749,1.5735,-2.32838,1.17,-1.52,-0.14,0,-0.1,1.66,1.09,1.49
2.953,3.233630097,4.646020486,-1.412390389,-0.659,-0.042,-0.679,0.29,1.32,1.52,1.447,1.692,18863.217,21719.178,24174.977,3.233630097,4.646020486,-1.412390389,4.37605,2.04896,0.781,4.0225,4.1943,3.73173,3.01197,3.20289,3.77395,1.72573,-0.11784,-0.21695,-0.18973,0.0056,-1.04414,-0.11299,-0.54558,1.23398,-0.16825,-0.43382,-0.22,1.45,0.06,0.1,0.09,-1.95,-1.23,-1.08
3.544,2.598504218,3.936239553,-1.337735335,-0.442,-0.472,-0.399,-0.107,1.371,1.455,1.465,1.66,19580.77,20781.724,23709.656,2.598504218,3.936239553,-1.337735335,4.40322,2.52952,1.12375,4.20764,4.45625,4.5021,2.84373,3.16303,4.13572,2.15046,-0.42159,-0.20124,-0.33172,0.05853,-0.74304,-0.01769,-0.76354,1.34349,-0.17389,-0.08539,0.82,0.37,0.02,-0.01,0.06,-2.01,-1.35,-0.48
4.429,0.522171674,4.012620257,-3.490448583,0.049,-0.798,0.365,-0.548,1.498,1.216,1.62,1.598,21400.797,17378.026,22833.528,0.522171674,4.012620257,-3.490448583,5.04376,2.64558,1.3806,4.60407,4.85763,4.6797,3.32808,3.76181,4.57594,2.63304,-0.9378,-0.61785,-0.40612,-0.7614,-0.96122,-0.38338,-1.03871,2.0636,0.42288,-0.77493,1.39,-0.07,-0.1,0.09,0.04,-1.02,-0.74,0.3
3.89,4.005166088,4.342702373,-0.337536285,0.3,0.437,0.343,0.452,1.482,1.587,1.58,1.713,21173.444,22672.949,24474.589,4.005166088,4.342702373,-0.337536285,4.92079,2.68828,1.22122,4.4723,4.69452,4.67114,3.35803,3.45997,3.94686,2.545,-0.40565,-0.46186,-0.43298,-0.21378,-1.66604,-0.33222,-0.89687,1.30197,0.35373,-1.33721,-0.28,-0.07,0.01,-0.03,0.02,-0.34,-0.7,-0.19
4.447,3.489825043,3.126474417,0.363350626,0.416,0.305,0.638,0.153,1.536,1.575,1.693,1.693,21942.959,22504.536,24192.423,3.489825043,3.126474417,0.363350626,4.82294,2.8976,1.33401,4.70216,5.04936,4.66737,3.64977,3.79901,4.21016,2.65928,-1.03376,-0.97777,-1.06124,-0.62374,-1.45964,-0.82604,-1.12314,1.88226,0.47725,-1.82908,1.17,-0.01,0.01,0.04,-0.03,0.37,0.2,0.19
4.758,3.088205158,4.386446424,-1.298241266,0.28,-0.499,0.548,0.058,1.523,1.43,1.657,1.663,21761.374,20430.232,23757.017,3.088205158,4.386446424,-1.298241266,4.77662,2.79069,1.3033,4.60859,4.84298,4.49316,3.63458,3.75777,3.98761,2.55415,-1.05343,-1.03337,-0.61084,-0.9674,-1.78878,-0.61474,-0.88472,2.04307,0.79028,-1.0491,0.79,-0.38,-0.11,0.04,0.03,-0.29,-0.1,0.97
3.899,5.154015062,3.287309609,1.866705453,-0.177,0.709,0.16,0.594,1.453,1.742,1.585,1.789,20761.869,24885.524,25559.626,5.154015062,3.287309609,1.866705453,4.59629,2.61788,0.95492,4.58292,4.4381,3.97537,3.00548,3.35424,3.8648,1.98319,-0.51821,-0.48085,-0.94781,-0.30922,-1.29685,-0.32985,-0.81407,1.6418,0.36125,-0.83543,-0.64,0.99,0.12,-0.01,0.05,-0.97,-0.83,-0.09
0.74,1.586478982,2.924387,-1.337908018,-0.681,-0.586,-0.717,-0.543,1.219,1.407,1.293,1.637,17409.329,20101.702,23386.705,1.586478982,2.924387,-1.337908018,4.80346,2.04369,0.66097,4.24142,4.49587,4.41663,2.779,2.92826,3.62569,1.90061,0.36636,0.12189,-0.33987,0.10606,-1.00583,0.19108,-0.08663,0.25836,-0.23348,0.27551,-0.07,-0.01,-0.01,-0.03,0.06,-3.13,-1.93,-2.92
5.9,4.074983659,3.299690113,0.775293546,0.682,0.494,0.823,0.207,1.676,1.652,1.865,1.737,23941.468,23597.21,24817.969,4.074983659,3.299690113,0.775293546,5.83125,4.01962,2.25001,5.68421,6.00651,5.59092,4.06334,4.31957,4.74496,3.55451,-2.10481,-1.69927,-1.86582,-1.1706,-2.10776,-1.71096,-1.64618,2.92728,1.05097,-3.10147,1.03,-2.07,-0.08,-0.19,-0.04,1.16,1.44,1.25
5.698,3.758147634,3.848857794,-0.09071016,0.632,0.113,0.703,0.146,1.626,1.551,1.76,1.702,23225.169,22157.079,24314.346,3.758147634,3.848857794,-0.09071016,5.20233,3.32213,1.44867,5.02359,5.20138,4.74736,3.73755,4.07919,4.53534,2.91586,-1.38578,-1.18607,-1.37898,-1.23219,-1.37342,-0.75448,-1.11851,2.51074,1.08181,-1.79871,1.7,-1.26,-0.07,-0.1,-0.02,0.69,0,1.39
2.609,4.56703751,3.629400719,0.93763679,-0.54,0.631,-0.513,0.5,1.363,1.698,1.492,1.745,19471.358,24258.365,24932.06,4.56703751,3.629400719,0.93763679,4.56194,2.35784,1.02834,4.50462,4.25152,4.2473,2.82724,3.01984,3.61969,1.71285,-0.36828,-0.40804,-0.26616,-0.17442,-1.10543,0.13149,-0.21029,1.82693,0.20043,-0.1723,-0.47,-0.56,0.06,-0.19,0.05,-1.85,-1.79,-1.47
1.539,0.745632966,4.477929843,-3.732296878,-0.509,-0.78,-0.635,-0.362,1.347,1.215,1.4,1.602,19245.328,17353.815,22889.393,0.745632966,4.477929843,-3.732296878,4.94363,2.66136,1.09168,4.65528,5.05253,4.47627,2.79105,3.0275,3.98545,2.13307,0.09687,-0.20395,-0.1797,0.17274,-0.99133,-0.19604,-0.64318,0.93957,-0.10245,-0.16044,0.15,1.29,-0.01,0.21,0.02,-2.14,-1.07,-2.16
6.433,2.690675534,4.461196533,-1.770520999,0.705,-0.515,0.852,-0.362,1.728,1.445,1.83,1.66,24694.15,20649.712,23721.196,2.690675534,4.461196533,-1.770520999,5.50995,3.26863,1.78204,4.95626,5.46412,4.82035,4.15113,4.28797,4.7968,3.25389,-1.33022,-1.68958,-1.50652,-1.72555,-1.64906,-1.06174,-1.59131,3.01449,1.39777,-2.08792,2.09,-1.68,-0.16,-0.03,-0.06,1.41,0.69,2.85
5.439,4.095497328,4.314090196,-0.218592868,0.567,0.208,0.819,0.156,1.612,1.545,1.8,1.698,23037.227,22075.381,24263.973,4.095497328,4.314090196,-0.218592868,5.11308,2.9349,1.60469,4.86116,5.08367,4.71419,3.84424,4.06033,4.32748,2.70042,-1.6266,-1.45662,-1.68182,-1.07677,-1.93889,-1.28412,-1.7776,2.0778,0.97996,-1.92847,0.65,0.26,-0.03,0.15,-0.07,1.55,1.28,0.82
