SLC7A2,PRSS3,PHF21B,FGF10,EPHA8,TRPM5,SLC6A15,PTGS2,SPAG6,SLC4A4,IL12RB2,PGR,OPRK1,NKAIN1,CHGB,ESR1,KRT31,IGFALS,SEZ6L,CABP7,PVALB,COCH,CHGA,RIMS4,PRSS33,SLC6A2,OCA2,TGM5,EPHX3,TFPI2,RLN2,ATRNL1,RUNDC3A,KRT37,SLC6A4,CWH43,NMU,CCKBR,RBM24,STC2,PEX5L,CCL20,KISS1R,TPSG1,CA14,GRIA2,CHRNA2,MATN4,C20orf85,EREG,SCGB1D2,SCGB2A1,PCSK2,TNNI3,NXNL2,BARX1,RTBDN,RGS22,MYBPH,BEX1,GSTM5,CSN2,CGA,KRT121P,EMX1,PAX3,SCEL,CHAD,FGFBP1,SIX3,PCDH10,BMPR1B,ASCL1,SSTR1,NOVA1,HDC,RHCG,CHST4,CBLN2,IL19,FBN3,KLK3,HORMAD1,SCN1A,UNC80,TRPM8,AGTR1,AC062028.1,GLRA3,SLC25A48,GFRA3,ARHGAP36,MAGEA4,RGR,DRD2,MKX,SPATA4,FSIP1,GFRA1,TUBA3E,OLAH,CPB1,ANKFN1,MAGEC1,ART3,SLC28A1,DPYSL5,GRIN2C,DCD,IL20,IL24,KCNF1,NEK10,CXCL5,NPY1R,CARTPT,SLC30A8,CSMD3,GPER1,CPA6,NELL1,KCNC2,ACSM1,MS4A8,B4GALNT2,TMEM145,KLK2,TBX10,TEKT1,GDNF,NSG2,SERPINA6,CST5,CST2,VSTM2A,KRT86,TRH,PROL1,CSN3,NLRP5,FGA,FGB,C11orf86,CST9,AGR3,KCNH6,IGDCC3,VWA3A,SCUBE2,PCSK1,FOXG1,BDNF,TRIM72,RP11-551L14.1,NEUROG2,C1orf173,RNF182,MUC16,GPR88,SLITRK6,NPY2R,KRT6B,LEMD1,SERPINA11,CDHR4,TCL6,DMBT1,TPRG1,HBA2,FZD9,FAM196A,DPY19L2P1,MYBPC1,LINC00238,POTEI,GATA3-AS1,CYP2A7,ANTXRL,CTC-490E21.13,MAGEA1,COLGALT2,MUC2,BRINP2,SNORA73B,RN7SK,POTEKP,C6orf15,KRTAP5-10,CD177,PRSS1,AC005863.1,MT1H,HBA1,RNU6-813P,IGLV1-36,IGLV2-18,IGLV3-9,IGHE,IGHV4-4,IGHV2-5,IGHV3-66,SNORD17,UCA1,CYP4F30P,AC079776.2,MAGEA3,RP11-465B22.5,IGKV3D-15,GS1-18A18.1,LINC01087,LINC00393,RP11-120J1.1,IGHV3-72,MTND1P23,HAR1A,RP11-148B18.3,CES1P1,NKX1-2,ELOVL2-AS1,RP11-379F12.4,PHGR1,RP1-269M15.3,DSCAM-AS1,DPY19L2P4,AC018816.3,Z82214.3,CLEC2L,HNRNPA1P57,AC093642.3,LINC00707,CYP4F62P,CPHL1P,FAR2P3,SLC25A24P1,ABCC13,TUBA4B,HBB,RP11-10A14.5,RP11-53O19.2,RP11-473L15.3,CASC16,LINC01016,RP11-434D9.1,RP11-168E14.1,AACSP1,RP11-53O19.1,AC005355.2,AC145110.1,IGHEP1,CTB-33O18.1,CTA-392C11.1,CTB-33O18.3,RP11-730G20.1,CTB-33O18.2,RP11-865I6.2,RP11-758M4.1,RMST,RP11-817J15.3,CYP2A6,CYP2B7P,RPPH1,CTD-2033D15.1,TPSP2,RP11-616M22.7,DLGAP1-AS5,RP11-708H21.4,MIR3687,MIR3648,MAPT-AS1,RP11-260A9.6,FEM1AP2,RP11-260A9.4,RP11-116O18.1,RP11-13K12.1,SCGB1B2P,AC092071.1,BX072566.2,RMRP,PGR.log2.tpm,ESR1.log2.tpm,ERBB2.log2.tpm
585,22,2,60,5,0,0,25,3,32,62,1571,0,81,46,11179,0,11,9,0,2,21,7,22,1,0,0,80,55,46,4,71,13,3,169,79,7,4,11,8872,8,1,13,67,3,12,3,11,0,5,6788,106,20,0,11,21,0,28,0,1,140,0,1,1,2,23,11,4,0,1,27,130,4,20,444,130,0,0,7,6,55,1,12,533,0,20,50,0,3,127,16,0,2,1,4,302,0,441,11850,0,3,194,389,0,23,5,1,7,158,5,2,52,594,2,330,5,58,8,83,36,1,0,24,9,29,19,1,2,0,6,16,2,1,98,24,86,0,2,0,0,0,2287,0,1,6557,1,17,2,601,57,2,7,0,16,76,0,5,6,6,288,0,66,1,181,4,13,85,2082,53,25,1,3,52,1,12,19,0,4,10,0,64,1,5,35,22,113,28,5,89,0,1,27,8,50,3,1,40,13,38,13,13,30,32,14,2,1,13,26,0,81,0,3,15,89,19,29,24,8,1,4,0,0,36,1,183,0,1,17,226,0,15,107,18,102,523,1,218,0,0,0,155,1,2,0,0,31,9,53,0,18,9,1,8,4,17,9,0,104,5,1199,32,167,3,16,337,0,13,5,7,0,14,0,6,10,32,3,140,6,1.766,4.761,10.066
1231,62,3,177,10,4,0,316,3,58,228,121,33,197,5,701,51,13,12,0,6,1102,16,57,229,96,126,205,161,134,54,23,4,0,82,8,285,7,56,753,1,38,3,1,1,438,0,208,0,12,71,126,0,9,13,22,0,41,11,20,62,0,2,13,0,11,6,19,86,986,4,781,1,4,213,59,121,112,4,1,330,3,1221,7,133,7,312,4,1,10,552,5,0,3,571,26,0,34,456,0,25,22,29,0,5912,12,274,39,7,1,0,270,48,33,871,1,5,0,195,7,0,10,16,0,327,84,0,0,0,1,1,0,2,8,1,39,0,0,0,0,0,0,17,4,39,0,9,20,630,51,0,1,22,210,6,2,178,669,8,1870,4,280,9,5,0,66,24,150,4530,256,5,6,147,0,0,28,0,1,0,0,112,9,31,45,35,14,51,7,11,2,11,16,340,0,5,0,3,2,16,1,1,17,0,11,9,0,9,5,0,8,221,208,5,80,23,3,3,30,8,7,2,0,3,2,17,0,24,0,137,3,4,89,1,4,0,1,15814,25,0,0,0,0,0,0,3,45,0,5,0,0,0,0,0,2,1,0,1,1,5,21,12,4,4,0,197,82,3,14,1,1,0,0,15,13,39,0,0,2,-1.437,1.231,6.175
1189,438,3,10,25,0,1057,161,7,72,3044,19,32,85,6,512,0,22,2,3,0,437,5,27,283,6,2724,127,115,584,25,41,10,0,4,21,302,375,13,1446,2,205,0,0,2,3,0,96,0,11,14,102,3,0,49,0,14,36,94,44,14,1,55,17,0,1,13,25,35,9,22,42,10,3,15,19,395,49,33,4,159,0,32,3,8,77,52,1,1,1,340,1,0,6,156,75,6,32,46,0,119,293,55,116,4255,120,99,8,1,4,2,197,26,400,940,54,34,0,111,3,2,1,10,0,1,25,1,6,0,7,0,0,0,11,1,441,0,1,24,0,0,0,267,0,57,2,2,1,184,81,532,0,8,23232,0,46,258,24778,3,34,0,26121,200,0,6,3,3,68,35,2247,14,101,613,0,0,2,0,240,0,1,50,2,259,46,76,1,21,22,5,106,10,83,4,0,44,22,132,1,171,146,16,11,0,0,1,4036,1,69,0,12,0,64,610,54,2,1,1,187,0,2,0,2,1,58,35,0,18,0,119,19,1,17,5,0,0,1,131,53,0,0,0,0,0,0,0,37,3,20,0,0,0,0,0,0,0,10,0,1232,1,10,11,1,0,3,1,0,28,18,0,0,0,0,1,879,11,0,0,13,-3.65,1.083,5.405
1085,6,3,27,12,3,0,25,6,15,249,390,0,1484,11,7642,0,23,6,6,21,34,22,35,2,3,7,4,27,2359,7,37,4,0,51,17,7,0,319,4449,11,33,51,108,4,1840,0,24,4,16,3562,290,2,2,190,15,1,11,2,9,126,5,1,13,8,9,0,73,10,11,2,2176,4,21,484,165,24,5,2098,4,15,1,10,7,0,6,61,70,66,56,14,2,2,1,3,26,7,103,34667,1,0,29,8,6,28,5,1,7,2,25,6,549,1603,14,522,0,444,0,75,12,15,83,84,9,72,86,5,2,3,48,13,16,0,94,288,134,14,3,8,0,238,5431,0,0,2948,0,14,4,2291,32,1,7,78,89,1,38,4,88,2,490,1,280,3,3,8,16,10,738,69,22,95,11,1072,9,9,76,25,0,17,0,58,0,59,41,486,475,7,10,2,0,1,13,5,106,181,188,940,33,105,1387,59,26,19,8,46,131,13,195,6,221,0,3,369,42,19,0,0,5,4,40,8,4,127,2,42,7,1,4,456,0,9,307,17,13,149,1,327,0,1,7,4,4,3,13,0,28,28,22,1,37,5,0,1,1,11,1,1,18,1758,10675,63,26,126,30,168,28,22,17,121,0,6,0,103,7,33,51,2,42,0.241,4.689,10.732
208,27,1,64,14,12,33,60,31,49,1750,91,4,449,18,453,0,45,13,7,18,825,4,21,44,149,296,73,79,118,25,392,16,0,9,1,15,160,38,1585,3,315,12,4,3,9,1,15,1,8,8,8,0,0,3,12,0,13,23,4,22,2,7,8,2,5,0,72,40,172,5,147,4,0,26,76,271,102,70,6,27,0,593,147,31,5,136,1,2,5,165,3,0,35,95,225,3,9,556,0,27,999,1,3,566,14,1,470,1,2,3,60,53,155,479,0,1,0,77,9,0,2,29,0,0,17,6,1,0,32,4,10,0,5,6,198,136,9,49,1,0,1,5,8,32,0,5,5,730,55,2,9,3,89,9,27,26,1003,11,25,0,5261,133,0,3,11,2,280,77,554,25,5,87,0,0,57,0,23,0,1,311,0,63,57,63,2,3,31,152,46,57,30,9,0,4903,106,2465,11,6430,2415,183,18,0,0,2,187,1,328,0,5,0,14,607,42,41,0,24,25,1,6,2,0,6,0,59,0,60,0,104,10,4,8,7,4,1,0,321,48,0,0,0,1,0,0,33,23,0,56,0,0,0,0,0,0,1,3,0,725,0,36,13,3,16,3,48,0,26,39,0,0,0,3,4,12,18,0,0,7,-1.752,0.691,5.071
6199,9,44,131,19,2,4,74,37,35,22,3630,0,895,7,11696,10,284,40,5,8,49,11,405,0,13,12,5,17,286,40,73,10,7,42,3,138,1,135,23231,17,12,24,55,215,15,5,5,0,3,400,23,0,9,351,110,1,157,2,1142,165,0,6,0,37,32,4,863,0,9,24,883,1,66,444,1287,4,6,413,8,7,260,11,4,9,3,278,7,5877,47,28,1,0,2,77,61,76,458,14472,4,1,155,27,0,10,6,0,29,0,69,7,36,1395,7,364,1,28,3,207,6,8,2,90,7,21,49,75,0,3,16,8,23,7,752,1,357,3,147,6,19,8,65,5,4,5313,0,168,5,15883,18,1,29,2,30,3,12,17,29,10,755,128,121,1,352,5,1,11,386,953,33,157,78,984,2,43,1239,0,6,21,0,193,2,16,133,394,991,0,192,13,0,0,1,86,3,213,173,56,4,23,342,3,6,19,1,23,0,15,78,0,316,0,2,183,36,50,19,20,1,109,159,96,33,806,23,44,6,13,88,621,2,1,1350,0,3,94,0,4008,3,2,12,2,153,4,31,0,271,23,6,0,59,12,24,2,21,26,3,15,12,19,4930,48,110,41,35,6,8,10,14,111,0,26,0,32,27,58,23,7,46,3.468,5.322,6.263
7056,14,45,198,11,126,15,41,112,37,50,2221,5,4349,12,8407,25,495,42,0,9,85,88,3124,18,50,24,137,423,19060,31,26,37,65,73,0,28,3,53,4477,14,35,114,10,2,14,294,35,0,10,2614,986,0,5,199,49,3,214,122,32,83924,2,79,2,56,28,2,2675,238,145,25,649,3,195,663,425,14,9,6,31,97,106,1,0,0,0,203,703,710,13,37,200,0,17,202,325,5,251,11575,1,7,210,63,2,6,38,11,98,421,1580,526,203,369,94,337,1,17,3,486,3,0,76,7859,1,388,100,163,10,8,119,2,333,3,18,40,116,61,11,8,27,1,2,0,18,1354,1,80,21,7376,18,0,37,8,765,112,66,36,2184,56,224,24,233,8,204,0,15,199,773,241,104,43,2,5418,14,20,194,1,37,7,0,192,18,117,51,79,782,34,36,23,0,1,5,37,9,142,176,248,364,519,730,24,13,199,8,32,1,60,74,0,521,3,41,257,118,28,47,0,17,63,12,464,26,2598,19,34,4,9,0,322,14,0,5263,15,0,115,0,650,3,5,0,17,617,18,8,257,121,47,1,16,39,4,9,2,10,30,6,42,26,65,2620,23,93,54,57,13,94,14,24,23,183,0,169,4,30,738,8,3,12,2.61,4.696,6.789
4967,8,23,483,0,6,11,82,38,153,76,958,9,240,27,1319,0,26,68,1,6,97,54,78,4,70,36,239,35,373,18,67,31,0,5,10,3,5,32,5943,13,23,15,53,2,30,20,37,0,43,979,55,23,0,44,31,1,82,9,108,1166,377,0,12,5,42,8,567,47,24,7,55,4,121,675,447,63,10,17,13,20,37,21,1,8,13,427,5,10,45,176,264,0,8,169,39,5,192,3629,24,0,204,46,0,77,15,2,73,13,0,0,27,233,121,322,0,4,1,348,16,2,124,14573,12,66,25,15,27,10,6,2,0,1,159,5,208,3,56,31,12,0,1,0,7,89,0,35,3,5551,21,0,14,0,318,55,29,15,194,60,322,28,650,16,110,3,24,19,579,232,72,46,9,8343,0,17,131,5,23,0,0,289,9,29,39,65,134,38,24,50,1,10,0,21,0,215,310,1507,5,662,4063,97,4,68,11,58,0,21,120,0,56,1,48,715,78,68,7,68,22,1,10,94,13,1,48,57,0,37,37,308,16,8,1437,13,0,0,0,682,7,2,0,0,2,1,0,0,193,8,8,0,31,0,2,0,7,0,5,63,169,10,53,1,47,3,13,24,11,4,16,6,0,5,0,16,42,37,0,5,2,1.281,1.907,5.607
2868,5,20,134,16,7,0,23,202,53,61,4524,30,475,3,11409,0,147,29,13,5309,158,7,3563,2,5,0,7,24,122,49,635,163,4,126,20,48,47,36,5435,72,26,2,16,41,1,0,2,268,103,70288,1113,1160,70,117,10,3,588,12,27,143,1,11,0,93,13,3,486,6,9,85,9298,162,25,113,124,3,2,3403,94,184,14,16,3,14,10,839,77,14,1624,16,3,0,0,3,57,11,1975,53939,18,1,2727,383,3,56,1,5,2,0,179,85,295,139,2,5773,0,36,6,165,191,5,85,79,434,1079,449,3,151,55,15,88,128,725,192,2030,110,29,0,0,13,21,244,0,43,16024,84,99,131,9852,11,1,10,28,58,5,50,12,43,1,3933,2,134,1,2152,80,158,147,1453,55,30,110,18,636,16,3831,973,15,0,9,1,138,17682,3870,20,49,1206,66,31,145,117,1,18,2,15,18,57,48,100,468,175,77,26,230,1430,17,0,69,57,61,595,0,4,563,21309,26,29,22,0,17,261,4789,45,82,119,77,0,23,17,164,1,3995,106,1925,112,219,34,204,3,85,15,9,112,93,73,1,489,52,13,22,132,2702,27,4,19,36,4,9,8,80,3503,29,749,121,38,11,436,19,34,3,2,37,1,4,5,24,25,9,3,3.764,5.265,10.946
196,13,15,77,4,1,3,76,6,35,64,60,23,360,4,333,0,12,7,13,30,52,1,170,1,671,0,350,76,333,1,1,100,6,23,258,29,721,19,2309,1,82,8,6,5,6,4,20,0,0,70,40,2,1,8,107,8,7,4,138,84,288,4,3,1,10,119,10,0,25,11,88,0,2,66,212,1134,16,22,1,71,83,2,56,0,33,100,14,0,26,250,1,6,1,32,23,3,45,227,0,0,567,12,26,34,9,404,59,4,1,0,46,81,0,23,0,3,2,122,52,0,1,394,4,316,52,50,12,0,11,7,0,0,40,0,139,0,12,19,97,999,14742,235,0,6,16,11,18,3547,13,0,4,1,41,1,5,11,75,2,33,1,789,32,10,8,12,107,162,2139,34,26,1,736,0,0,7,34,3,0,0,42,3,21,50,34,9,43,9,114,1,10,4,141,0,15,20,525,54,24,616,3,15,1920,0,6,0,1,143,0,3,0,6,188,82,23,0,11,15,0,5,1,0,164,3,43,0,0,0,343,0,0,90,0,0,7,0,5909,660,2,0,9,0,2,0,7,22,0,6,26,5,0,0,0,1,6,3,0,12,81,1343,10,12,52,18,0,10,58,56,0,0,15,0,4,16,14,6,0,14,-2.174,0.41,8.792
14068,0,0,111,2,1,2,14,848,33,57,5558,0,1216,70,13022,0,647,77,3,72,81,10,582,0,0,2,203,37,184,52,144,14,35,78,8,34,0,67,55615,31,34,49,23,37,1,7,7,121,3,1318,41,5,60,154,4,0,144,3,149,82,1,1,0,15,19,3,136,6,12,8,603,3,20,189,234,5,0,2450,12,32,47,21,5,2,2,290,17,1,382,14,0,1,1,8,702,35,729,7281,26,0,101,125,10,12,0,1,13,1,58,5,181,387,5,510,0,4,0,152,9,5,3,47,14,5,77,41,2,107,2,29,1,0,202,65,73,0,11,0,11,1,7,0,1,3918,13,21,57,41576,94,0,1,17,64,0,70,17,42,6,6789,0,108,0,84,156,15,19,538,67,30,38,14,2544,0,54,566,2,0,1,0,113,1,7,65,27,1760,3,17,103,2,0,3,2,3,37,11,276,0,14,344,10,7,1,4,537,0,16,20,0,1009,0,0,85,43,14,0,38,0,5,75,129,136,0,1024,67,42,5,1,444,1,0,304,5,1,347,73,208,2,25,15,4,19,13,0,1,522,30,19,3,360,8,86,0,92,26,2,24,7,12,102,2,212,12,3,71,4,8,5,135,0,221,0,22,7,12,0,94,6,4.431,5.826,7.017
1636,0,3,56,0,0,703,69,230,90,210,103,105,288,56,129,0,12,4,4,5,3357,61,1133,1,25,13,47,48,203,49,19,19,0,31,11,1185,40,452,1447,5,23,83,1,2,108,0,4779,0,5,29,6,20,0,12,52,20,17,6,131,248,0,5,33,7,7023,0,11,70,23,715,98,4,1,94,122,5,4,15,45,4458,0,561,1,5,4,61,0,1,8,682,1,0,1,24,150,2,18,302,0,22,12,1,0,15,1,6000,46,13,2,1,46,100,75,147,4,2,1,33,0,28,2,12,0,1,31,3,6,0,18,16,1,2,208,5,58,3,0,6,2,0,0,0,0,6,2,10,7,905,834,14,3,2,220,2,6,1423,203,11,635,20,462,0,5,1,6,4,125,51,8032,37,122,51,0,2,24,2,0,0,0,21195,3,1,20,88,4,5,2,24,0,1,30,4,0,32,1,556,0,140,394,11,59,7,0,2,0,7,62,0,0,1,1100,84,47,15,0,8,2,6,5,3,2,0,102,15,1,77,0,123,0,0,116,0,4,1,1,87,16,1,0,0,3,1,0,13,61,1,7,0,1,0,0,0,0,19,4,4,19,3,35,18,2,0,4,9,0,19,13,0,0,1,0,1,1,53,2,0,9,-1.654,-1.176,5.066
88,1,8,245,9,5,1,12,312,3001,2,460,0,183,6,21501,160,120,6,0,47,18,5,248,0,7,0,9,29,17,37,620,14,12,5,2,31,3,815,24937,1341,12,13,196,126,12124,25,14,0,0,26,3,0,33,124,17,0,212,4,384,121,0,34,1,0,14,0,11,0,32,10,6956,241,22,5883,363,6,1,5,0,28,4,72,0,0,1,6594,0,0,16,24,0,0,0,16,8,52,838,22983,1,0,5390,752,0,2,1,1,16,1,2,1,19,615,5,9601,410,26,0,125,67,0,1,115,1,27,184,5,25,0,6,14,3,458,117,2,40,8,15,1,0,2,15,0,31,1919,3,206,89,7548,26,2,1,40,18,0,2,7,44,3,3075,4,245,8,2221,1,0,7,22212,540,2,3,7,39,0,92,859,8,9,174,817,26,1,290,21,49,1332,24,57,278,3,0,5,35,67,18,9,4,12,1,18,0,9,7,119,64,0,14,3,0,755,0,4,5,104,26,45,13,0,0,260,70,15,37,13,1706,13,8,0,1595,0,103,762,235,0,5,1,1572,1,381,1163,1,17,7,92,1,145,22,5,0,852,13,67,569,72,5,60,1,4,12,87527,12,116,228,109,0,14,10,11,97,65,343,39,10,12,58,561,249,4,0.529,6.233,6.566
248,27,0,15,0,1,0,2271,12,21,345,21,0,0,6,485,3,105,3,1,4,149,0,2,0,4,93,4,719,52,21,7,14,0,4,0,58,0,2,258,1,1559,19,0,5,1,2,120,0,4,18,2,0,0,7,3,0,51,20,7,74,2,0,10,1,2,2,15,148,2,0,18,14,2,19,10,178,57,13,3,2,0,454,0,1,4,35,3,9,3,94,0,0,0,16,13,0,10,258,0,7,4,10,8,750,5,3,2,0,1,2,0,12,150,23,0,0,0,76,4,0,0,37,0,0,1,9,3,0,4,0,0,0,13,4,545,0,0,141,0,21,18,0,0,13,0,1,4,2914,15,3,3,15,144,0,4,3,3561,1,41,1,816,33,2,2,5,0,247,18,102,14,1,12440,0,0,2,0,0,0,0,115,3,1,64,103,8,0,1,6,2,50,11,1,0,197,1901,5813,59,15775,16060,45734,40,1,0,4,354,16,269,0,7,112,5,1227,56,21,1,0,3,0,0,0,0,0,0,32,0,217,0,54,8,0,25,1,5,3,0,116,2093,0,0,0,0,2,0,0,10,0,18,5,0,1,0,0,0,8,0,0,155,1,8,29,0,0,0,4,0,20,20,0,0,0,0,0,25,6,0,1,21,-4.027,0.423,4.807
1303,2,208,58,4,3,0,55,39,26,203,156,2,110,90,1094,5,42,12,8,579,82,750,22,3,10,7,5,22,81,16,13,58,6,157,23,30,3,4,559,1,38,3,5,5,4,2,11,1,1,31,47,20,0,4,54,0,11,5,24,243,764,11,168,1,1,74,118,1,16,3,23,18,21,165,197,7,4,3,3,249,75,7,0,4,4,76,7,6,33,129,1,4,3,12,6,1,24,316,0,12,7,11,85,31,2,86,9,1264,8,0,43,26,5,79,17,11,0,161,64,1,1,28,0,307,7,15,215,0,1,10,0,1,472,21,3471,11,11,3151,0,13,91,1,1,245,22,71,21,638,11,0,2,15,128,10,2,44,251,8,8,2,752,8,23,3,29,108,193,351,32,22,18,90,0,23,11,0,7,0,1,159,25,204,19,37,3,1,7,84,154,13,1,31,12,404,510,1048,95,730,3526,278,13,47,10,14,0,15,732,0,1,0,9,2031,77,120,10,112,1,1,2,2,0,471,0,23,0,25,3,64,2,15,212,34,4,0,1,1388,3,1,1,3,2,7,0,66,30,6,28,7,0,14,0,1,0,2,11,4,38,3,83,20,7,40,5,39,136,19,21,0,0,14,1,7,7,20,0,3,6,-0.932,2.021,11.014
1256,18,203,13,4,5447,3,6,3,61,31,103,0,7598,4,32184,5,258,33,95,1940,63,4971,12589,1,0,3,0,16,34,11,322,8,27,1673,1,174,3,300,27421,13,3,562,76,7,1,2,6,7,1,207,23,0,1,5,3,32,80,1,0,33,0,69,0,3380,0,2,523,0,1,10,82,17698,7,39,42,0,0,6,352,6,24,3,1,3,0,29,3,1,16,12,1,1,0,0,381,0,957,22620,6,0,28,1,10,2,0,17,43,4,2224,636,8,210,1,1789,0,23,301,3530,1248,0,3,1,275,10,402,0,5,8,1,21,356,1,62,19,9,104,0,0,0,0,0,0,26,23842,1,1722,21,198,17,4,11,1,43,1,44,8,3,18,14,0,5,1,450,8,12,1,126,23,11,27,218,7,0,14,429,28,0,53,3,99,9,272,91,123,573,0,0,531,17433,0,3,6,55,19,424,385,999,1013,854,9,74,3,1,6,265,99,1291,1,371,0,2,94,98,4,11,0,0,19,180,258,0,1,4,53,2,8,0,396,0,0,159,2,0,6,2,65,1,0,1,1,6,120,0,10,15,0,5,69,45,2,4,8,3,6,2,16,1,8,12947,23,143,350,87,1,4,33,30,0,312,4,209,6,9,38,95,0,15,-1.616,6.794,8.003
3254,5,59,103,4,3,7,50,257,22,18,205,0,945,10,10986,3,226,122,3,1705,34,9,219,0,12,6,90,59,159,25,343,22,0,2,4,4,1,15,900,2,5,45,44,8,578,0,9,105,23,224,113,1,10,19,75,1,62,3,16,560,0,188,2,56,8,9,3573,3,47,44,145,2,57,247,513,23,3,31,215,32,61,4,4,5,10,205,12,7,36,10,0,0,3,35,41,9,1822,30195,30,0,45366,12,1,11,1,2,28,0,371,12,115,433,14,845,0,481,17,261,32,0,114,101,59,22,53,25,1,46,27,21,0,6,477,7570,221,13,229,3,39,0,0,1,143,13795,103,371,66,3118,21,0,2,8,24,12,2,19,598,11,107,7,1542,10,198,92,1,18,656,369,17,28,9,56,0,149,104,0,19,0,0,89,20,16,26,48,1189,90,12,519,4,0,2,12,295,34,19,98,7,167,295,2,7,73,78,7,0,32,67,182,728,0,18,101,91,130,16,16,1,9,17,109,27,911,3,26,0,7,1,1928,7,240,236,196,2,4,50,1138,1,465,572,2,2,14,0,13,360,23,14,0,10,2,3,0,3,0,0,27,37,0,150,19,389,85,84,9,17,16,6,0,19,18,6,7,33,15,0,1,12,-0.541,5.35,6.202
1722,3,15,221,6,4,13,537,119,101,254,690,56,109,17,575,7,13,71,1,4,283,58,39,8,10,2,30,45,200,18,22,35,1,146,0,62,1,17,1019,23,40,25,6,0,13,0,14,0,8,471,135,2,4,22,11,11,86,6,11,309,0,13,8,1,32,20,39,23,2,222,101,10,35,374,340,38,20,27,11,68,3,39,0,7,7,287,8,11,44,249,64,0,1,40,44,0,146,1479,2,2,15,25,3131,34,13,116,14,0,4,5,49,76,49,261,2,7,3,213,14,1,53,83,1,101,14,10,4763,3,7,4,7,2,58,5,96,1,1,15,9,1,0,0,17,267,1,20,10,1049,213,3,35,1,86,17,21,23,437,17,325,18,310,3,23,2,42,23,645,219,25,8,1,123,0,3,36,3,10,0,9,195,2,14,54,37,50,27,7,413,4,4,2,22,0,291,322,7159,48,568,3114,50,19,83,2,25,2,18,111,0,25,1,24,873,39,103,7,8,3,2,6,8,5,151,4,46,1,23,0,214,4,2,203,13,7,1,1,893,4,0,0,29,16,8,0,1,38,6,53,0,1,1,0,0,0,1,1,14,34,6,40,29,34,20,29,12,51,27,33,1,0,2,0,3,13,10,0,2,4,1.257,1.162,8.969
450,4,5,114,46,7,2,191,4,76,660,95,13,168,17,343,0,35,10,130,12,82,8,24,22,53,185,41,69,101,19,98,39,0,122,0,40,31,268,3050,3,25,27,0,8,11,1,67,0,6,18,3,92,0,26,128,0,254,21,1,28,0,4,3,0,19,25,1,237,20,0,389,3,2,123,51,41,30,106,9,5015,1,1563,144,79,20,225,8,2,44,391,0,193,11,53,235,1,16,877,0,31,507,11,1028,90,8,518,32,0,0,1,24,57,246,661,0,11,0,331,2,0,4,21,0,1,143,2,0,0,135,6,0,0,3,1,174,4,0,1,0,18,8,22,1,37,5,22,31,967,48,102,14,5,220,1,1,181,13,107,284,1,2030,255,8,1,6,5,266,64,109,24,0,113,0,1,6,0,6,0,0,151,17,1,64,33,4,738,11,21,0,106,124,3,0,292,68,2392,3,313,917,49,26,9,1,7,41,159,174,0,2,3,63,393,35,45,1,10,13,1,0,2,0,1,1,34,1,1013,0,350,0,2,6,2,14,0,0,73,721,1,0,0,0,1,2,61,42,0,18,0,0,2,0,0,0,20,2,0,920,3,52,26,0,0,0,2,1,184,108,1,0,4,0,6,12,18,0,0,19,-1.677,0.308,5.208
328,7,0,19,18,2,454,599,15,59,421,79,36,91,20,324,1,15,6,902,23,285,0,101,629,28,223,71,89,237,65,112,31,0,8,29,74,187,6,1789,1,95,9,4,10,17,0,170,0,90,16,6,1,10,8,22,20,21,29,0,36,0,2,28,1,12,45,4,4,86,2,113,3,0,56,121,244,54,23,3,324,0,874,113,21,60,49,5,12,3,106,17,3,68,6,53,2,17,340,1,27,7,4,2,697,45,53,15,0,5,2,18,40,125,1605,0,16,0,157,10,3,3,40,1,6,38,8,3,0,24,0,0,9,12,3,418,7,1,9,0,0,0,16,9,17,0,4,6,607,67,47,7,11,3303,0,16,193,7924,5,277,15,5056,107,3,4,14,2,191,61,870,9,7,359,1,1,46,0,12,0,0,161,2,7,45,44,13,181,16,83,0,32,83,4,0,8014,27,130,35,456,785,141,28,394,0,5,43,9,699,0,7,18,20,120,38,26,1,0,14,1,11,0,0,1,5,63,0,10,0,65,24,0,56,0,0,0,2,231,1106,1,0,0,2,0,0,113,69,0,51,1,0,0,0,1,0,13,5,1,180,0,20,14,1,11,12,549,1,22,48,0,1,14,0,4,136,20,0,1,9,-1.737,0.428,4.765
