Act.CD4,Act.CD8,Tem.CD4,Tem.CD8,MDSC,Treg,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts,Danaher.B.cells,Danaher.CD45,Danaher.CD8.T.cells,Danaher.Cytotoxic.cells,Danaher.DC,Danaher.Exhausted.CD8,Danaher.Macrophages,Danaher.Mast.cells,Danaher.Neutrophils,Danaher.NK.CD56dim.cells,Danaher.NK.cells,Danaher.T.cells,Danaher.Th1.cells,Danaher.Treg
0.9563,0.83868,0.91236,0.90701,-1.63719,-0.52073,-1.055,-1.5174,0.16182,-3.589675,-0.906175,2.559229,-1.11208,2.2115,2.95857,7.261525,-2.622,2.982,0.617,-0.06,-0.23,0.546,1.306,2.485,-0.24,-7.509,-2.38,0.156,-3.456,1.248
1.16802,1.35899,1.03009,1.32702,-1.90112,-1.12581,0.904733,1.2391,0.72914,-1.977425,0.579713,4.672157,-0.37274,0.207167,3.646088,9.5393,0.055,4.295,2.257,1.611,1.35,1.231,2.062,3.898,-1.478,-6.761,-0.493,2.148,-0.96,2.54
1.26012,1.32095,0.94978,1.28889,-1.62979,-0.94001,0.633033,1.5989,0.8932,-1.97645,1.94995,4.1332,0.40846,-0.429407,3.005412,7.258163,0.604,3.758,2.153,1.664,2.533,0.416,1.846,1.515,-2.833,-7.145,-0.776,1.508,-0.404,1.681
1.91779,2.03911,1.19002,1.7138,-2.46112,-1.50563,3.30212,3.5149,3.2032,0.792225,3.516037,5.969586,0.77054,0.776047,2.914439,8.038488,2.811,6.256,4.395,4.286,3.054,3.172,3.565,1.192,0.241,-3.043,2.077,4.152,2.409,3.042
1.19128,1.68172,0.87866,1.25531,-2.05468,-0.83465,1.706153,2.6204,1.87724,-0.115875,-0.829012,4.602629,1.07062,0.712547,1.940506,6.869225,-0.967,4.066,3.49,3.068,2.168,1.817,1.481,2.12,0.46,-1.689,2.518,3.041,1.127,1.937
0.93535,1.05109,0.97077,0.91581,-1.02562,-0.6758,-0.385607,-0.1927,-0.63848,-3.171975,-0.381425,2.876457,0.07142,0.426287,3.677255,9.337325,-1.342,2.527,0.936,0.411,0.151,0.352,0.416,3.242,-3.691,-7.373,-1.607,0.453,-2.135,1.236
0.66541,1.02237,0.87071,0.93806,-1.41451,-1.04424,-0.997167,-1.9625,-1.4416,-4.334125,-2.854437,3.274714,-2.8523,0.122067,2.480094,7.430462,-4.656,2.932,-0.621,-0.658,-1.379,-0.115,1.652,3.177,-1.712,-7.459,-3.004,-0.571,-1.006,1.93
1.28807,1.69484,1.23043,1.4673,-1.921,-1.33078,2.038613,2.8177,1.96676,-0.291,0.759162,5.268386,0.91978,0.17974,3.636906,9.445163,0.151,5.87,4.1,3.12,1.515,2.313,3.621,6.101,-0.553,-2.056,1.532,3.647,1.501,3.412
1.1367,1.83913,1.2949,1.74894,-2.55033,-1.68297,2.912,3.629,3.1658,0.996,4.025875,5.942571,1.5072,1.862667,5.650909,9.941625,3.376,5.338,4.207,4.357,3.638,2.592,4.528,4.762,1.421,-6.821,2.141,3.96,2.294,2.335
1.55331,1.58383,1.18245,1.37757,-2.10447,-1.48148,1.503913,1.1313,1.4328,-1.7573,3.552575,5.405414,-0.26646,0.686447,3.173552,8.5483,2.183,4.42,1.869,2.14,2.241,1.641,2.961,0.802,-0.25,-4.659,0.289,2.331,1.132,2.705
1.17396,1.68391,1.02478,1.40444,-2.06722,-1.11521,1.205753,2.2351,1.6462,-1.175375,2.212712,4.987686,0.43364,0.487553,2.258506,7.961188,0.974,4.748,3.171,2.678,3.303,1.835,2.078,2.558,-0.204,-1.678,0.521,2.601,0.479,1.897
1.35876,1.72338,1.00921,1.34562,-1.83445,-0.9771,2.088467,2.62,1.9816,-0.39575,2.379375,4.488286,2.6904,0.487467,3.106364,7.59825,1.626,5.313,3.856,3.255,2.366,2.304,2.251,2,-1.12,-1.323,1.797,3.603,2.119,4.108
1.04976,1.49223,0.98444,1.30147,-2.22883,-1.13497,1.0902,1.2028,1.71342,-1.906775,-0.701575,4.945929,-1.57092,1.547053,2.786836,9.289262,-1.222,2.676,2.005,1.946,2.145,1.172,2.61,3.748,-0.943,-4.334,0.068,1.757,0.111,3.484
0.95373,1.42975,1.11835,1.29097,-1.59603,-0.86139,0.76984,2.3863,1.57876,-0.447275,2.449438,3.956914,1.26386,0.654953,4.198273,8.56605,1.358,4.237,3.046,2.525,2.965,1.237,1.496,3.36,-2.319,-5.448,0.744,1.96,0.204,0.743
0.92653,1.1859,0.97725,0.96875,-1.12015,-0.58652,-0.012213,0.3279,0.32696,-2.507,0.517838,2.766543,-0.74802,0.536053,4.405724,8.112488,-1.105,2.61,1.267,0.606,0.281,0.482,0.652,5.06,-3.583,-6.726,-1.244,0.946,-1.577,0.27
1.472,1.84249,0.97972,1.47731,-2.19097,-1.05989,2.797533,3.144,3.0894,0.11625,3.288875,5.206429,-0.532,0.694667,3.339394,8.2455,2.321,5.106,4.334,4.264,2.146,2.853,3.269,2.707,-0.55,-0.818,2.597,3.763,2.831,3.727
1.09607,1.44772,1.09276,1.34938,-1.64595,-0.89327,1.146313,2.3417,2.01898,-0.8344,1.81115,4.0543,0.76516,1.111367,4.203394,9.321162,1.234,4.729,3.383,2.573,2.484,1.835,1.717,3.745,-2.098,-5.012,0.635,2.399,0.35,1.729
1.6702,1.84971,0.91655,1.42946,-2.21233,-1.24296,2.20034,2.6573,2.78602,-0.7684,0.961862,4.833957,1.31342,0.721567,2.183112,6.789238,0.638,5.069,4.012,4.416,4.217,2.952,2.96,-0.576,-0.654,-0.661,1.399,3.459,2.493,3.414
1.32359,1.59867,1.12054,1.23933,-1.58392,-0.94732,2.24156,2.2803,1.55908,-1.49505,2.982137,4.255543,0.11566,-0.262453,3.279967,8.2278,1.344,5.395,3.466,2.623,1.189,1.704,1.824,5.45,-3.499,-3.414,-0.211,3.714,0.923,2.743
1.22363,1.57053,0.97489,1.23311,-1.60616,-0.85602,1.39056,2.4861,1.4479,-1.416775,1.97135,4.138314,-0.37892,0.252213,2.820552,8.616288,1.354,4.437,3.611,2.76,2.227,1.852,1.493,2.765,-2.001,-2.288,1.096,2.647,1.253,3.355
1.27943,1.48981,1.023,1.10902,-1.32907,-0.7107,1.313547,1.6055,1.34152,-1.75875,0.757788,3.516571,0.0771,0.740473,3.117388,8.63565,-0.212,4.52,2.825,2.291,0.334,1.521,1.649,4.778,-1.484,-4.252,1.09,2.448,1.016,2.332
1.34298,1.59864,1.12055,1.32525,-1.79009,-0.88594,2.367,2.6248,2.00932,-0.673275,1.8547,4.210157,1.85336,2.046087,4.159873,8.343763,1.044,5.745,3.737,2.897,2.354,2.278,1.913,3.79,0.078,-4.078,0.973,3.739,0.779,2.887
1.59334,1.69939,1.0557,1.45197,-2.22344,-1.07812,2.15766,3.1217,2.25372,-0.63725,2.931612,5.575157,1.56054,1.059687,3.835245,8.87125,1.839,5.682,4.052,2.739,1.852,2.336,2.51,2.931,-0.115,-1.982,0.974,3.65,1.256,3.506
1.0764,1.13858,0.98826,1.1557,-1.4225,-0.72503,0.86898,0.9492,0.2239,-2.7897,-0.265813,3.8219,-0.21402,0.079847,3.263688,7.783812,-1.514,3.91,1.659,0.741,-0.029,0.285,1.344,0.695,-2.956,-7.503,-1.083,1.309,-0.747,1.121
1.24776,1.39668,1.02749,1.15503,-1.823,-1.25403,0.290988,2.15443,0.47878,-1.810595,-0.752351,4.998239,-0.88874,-0.309561,3.747286,9.121341,-2.902,3.903,2.533,1.093,0.475,0.848,2.184,0.656,-1.566,-4.261,-0.499,1.044,-0.47,1.369
0.7932,1.0902,0.99747,1.18688,-1.49405,-1.11157,0.357593,-1.167,0.17422,-1.707675,-0.362675,4.563271,-1.92654,2.60048,2.969773,9.816775,-2.564,3.62,0.405,1.045,1.388,0.83,1.911,2.574,0.519,-5.296,-1.086,0.876,-0.013,2.606
0.81007,1.03548,1.22591,1.33228,-1.75854,-1.25273,-0.080707,-0.7061,-0.27802,-3.447325,-1.75925,4.049286,-1.12932,0.671133,4.039609,10.138375,-2.754,4.186,0.931,0.591,1.389,0.057,2.554,6.045,0.057,-4.702,-2.499,0.357,-1.433,0.842
1.08027,1.15433,1.04614,1.20176,-1.85885,-1.25699,0.224333,1.062,-0.46556,-2.5825,-1.557138,4.7926,-1.10356,1.239313,3.081215,8.976112,-2.943,4.472,1.68,0.785,2.615,1.026,2.489,3.257,0.947,-6.978,-1.75,1.044,-0.341,2.55
1.55505,2.1724,1.15862,1.6646,-2.18408,-1.17542,3.41508,4.5646,3.82516,1.588,4.996587,5.179586,2.5825,0.727707,3.058794,8.537275,3.805,6.722,5.463,5.063,2.4,3.607,2.958,4.955,0.027,0.981,3.803,5.016,3.194,3.633
1.34115,1.22557,1.25306,1.5154,-2.08958,-1.6132,1.154833,-0.4304,1.6488,-1.184225,-0.877813,5.9289,0.67426,1.315933,3.885903,10.070987,-1.575,6.209,1.298,1.89,2.758,1.699,4.546,2.205,1.103,-5.378,-0.19,2.246,-0.032,3.041
1.65582,1.44903,1.01335,1.4978,-2.32263,-1.48171,1.10276,0.6741,0.8188,-1.267375,1.285937,5.231129,-0.88894,0.448793,2.654903,7.848987,0.3,4.71,1.685,2.023,3.73,1.703,3.384,-1.03,-0.029,-2.645,-0.233,1.984,1.128,2.568
1.11424,1.67217,1.14913,1.394,-1.76202,-1.29575,1.856067,2.256,1.5516,-0.12575,-0.027,5.107429,-0.7732,1.4492,3.531303,8.80125,-0.256,5.892,3.862,2.583,1.407,2.127,3.259,3.373,-0.905,-2.924,-0.117,3.484,1.396,3.17
1.08965,1.57185,0.96618,1.20222,-1.62806,-0.94781,2.122185,2.20699,1.96388,-0.742915,3.264778,4.671229,0.879388,1.057374,3.578705,7.690697,2.233,5.142,3.242,2.676,2.036,1.829,2.34,3.455,-1.256,-1.921,1.532,3.352,1.843,3.117
1.35012,1.35896,1.00073,1.15468,-1.54872,-0.78839,1.049627,1.3091,0.86714,-2.945125,2.499262,3.812229,-0.0927,0.235967,3.188715,8.6573,0.182,4.327,2.896,1.442,0.51,1.345,1.186,2.117,-2.668,-2.691,-0.599,2.365,0.342,2.911
1.08841,1.5154,1.0976,1.25613,-1.85688,-1.13883,1.330733,1.539,1.7878,-1.85175,1.206875,4.718286,1.141,1.6804,4.406424,8.45475,0.486,4.732,2.724,2.73,2.411,1.499,2.522,4.675,0.024,-6.959,-0.16,2.373,0.694,2.318
1.23427,1.59478,1.21132,1.50642,-2.12389,-1.39243,1.84004,2.7127,2.3253,-1.014825,0.2232,5.729371,1.1159,1.518487,3.451136,9.095025,-0.5,5.853,3.689,2.941,2.529,1.718,3.942,5.878,-0.255,-2.654,0.733,3.277,0.876,2.298
1.76933,2.22325,1.09334,1.71793,-2.29443,-1.18118,3.36982,4.9319,4.07718,1.1245,3.394588,5.220443,2.37004,1.209413,2.821794,7.5264,2.607,6.717,5.835,4.928,3.379,3.401,2.817,3.746,-0.698,0.851,3.897,5.058,2.688,3.636
1.89096,2.19111,1.12433,1.71762,-2.37939,-1.57072,3.712913,4.7732,4.49228,0.961325,3.493438,5.6009,1.28706,0.195887,2.917973,7.36775,3.155,6.716,6.063,5.785,3.486,4.576,3.903,0.602,0.559,-4.224,3.444,5.224,4.075,4.759
0.90625,1.15989,1.02784,1.12483,-1.41244,-0.80269,-0.21068,0.3525,0.1318,-2.35065,1.347138,3.453329,-0.67936,0.911967,3.408627,7.249512,-0.587,3.055,1.109,0.69,0.407,0.264,1.188,3.359,-2.851,-6.517,-1.776,0.938,-1.365,0.415
1.23364,1.09672,1.05735,1.18449,-2.10006,-1.21671,0.18234,-0.6039,0.27578,-3.350425,-0.449587,5.3047,1.49212,1.288553,2.377133,8.526,-1.635,4.484,0.585,0.749,1.914,1.062,2.741,4.311,0.753,-5.71,-1.733,0.921,-1.039,1.974
1.09564,1.46315,1.02531,1.38544,-1.96174,-1.18646,1.321887,1.9151,1.87114,-1.75815,1.872562,4.918614,0.50924,0.97484,3.402461,8.504825,0.771,4.815,2.957,2.41,2.287,2.051,2.564,2.342,-0.431,-3.173,0.052,2.485,0.975,2.752
1.1255,1.3575,1.15315,1.29165,-1.85752,-1.28525,0.29372,2.1404,1.25866,-1.877325,-2.285325,4.316143,0.54906,0.52844,3.36467,10.019787,-3.517,4.287,2.977,1.89,1.293,1.315,2.827,3.702,-1.479,-5.718,-0.614,1.632,-0.844,0.948
1.24293,1.87068,1.16877,1.53888,-2.14366,-1.03257,2.696487,3.24802,3.065054,0.234995,3.475251,5.431649,2.433494,0.822471,4.118388,8.774575,2.21,6.209,4.298,3.52,2.899,2.688,2.497,3.159,-1.658,-1.217,2.18,4.092,2.455,2.854
1.5368,1.85818,1.19991,1.59496,-2.13759,-1.26995,2.680773,3.4314,2.84636,0.154425,2.138463,5.175214,1.83372,0.95156,4.044209,9.030762,1.62,5.561,4.298,3.709,2.709,2.998,3.065,3.571,-0.174,-1.132,2.006,3.968,2.64,3.628
1.34277,1.6265,1.08112,1.32506,-1.62505,-1.0116,2.571427,2.9513,2.62534,0.392725,3.052338,4.4364,2.35308,1.535727,4.114497,8.287838,1.984,6.212,4.425,3.959,3.396,2.852,2.5,3.198,-1.545,-2.444,2.534,4.116,2.532,2.868
1.59063,1.84144,1.10486,1.57366,-1.92192,-1.1492,2.72276,3.769,3.30288,0.542325,3.66485,5.302571,1.65338,0.245653,2.983948,6.76885,2.917,6.134,4.696,4.341,3.326,3.088,1.372,-0.147,-1.01,-0.956,2.181,4.119,2.875,3.143
1.58206,2.07427,1.10262,1.65211,-2.37144,-1.28456,2.831618,3.75634,3.23479,0.391545,2.31852,5.403136,-0.707232,1.18387,2.134404,7.322163,1.328,5.559,4.88,4.552,3.005,3.396,3.187,0.087,0.062,-4.209,2.602,4.016,2.705,3.598
0.97017,1.29436,1.12827,1.08373,-1.75392,-0.89423,1.176067,2.629,0.206,-2.44825,0.347125,3.953429,0.7008,0.4124,3.67803,8.068,-0.22,4.647,2.946,1.092,1.324,0.592,1.589,2.383,-0.389,-6.035,-0.851,2.216,-0.009,2.385
1.04265,1.20741,0.99557,1.0496,-1.27917,-0.83668,0.260053,0.8386,1.12264,-2.12235,-2.116975,3.645143,-0.57918,1.224647,3.174303,6.569825,-2.976,4.447,2.549,1.355,-0.014,1.283,0.213,4.036,-0.955,-6.388,-0.979,1.502,0.331,1.954
1.04295,1.40329,1.06365,1.11201,-1.37937,-0.81464,0.975247,2.4138,1.36962,-2.239225,2.776838,3.165757,1.1037,0.86256,3.983285,8.414038,1.255,4.096,2.991,1.921,0.639,1.064,0.703,4.674,-3.559,-5.708,-2.733,2.051,0.396,0.467
1.1109,1.65994,1.20507,1.51345,-2.10579,-1.20833,2.400013,2.4138,2.03678,-0.2233,3.584062,5.067129,0.81434,1.437047,3.958958,9.735175,1.998,5.695,3.515,3.002,2.337,2.339,2.356,5.289,-0.491,-4.235,1.128,3.542,1.671,3.67
1.20076,1.62264,1.15942,1.53191,-1.93946,-1.22379,1.794667,2.09,2.62898,-1.068325,2.743813,4.892814,0.62234,1.390547,4.031536,9.420988,1.505,5.378,3.534,2.916,1.728,2.215,2.947,4.781,-2.175,-4.254,0.883,3.06,0.946,2.679
1.27099,1.65671,1.22472,1.35696,-1.78232,-1.08644,2.371,2.347,1.832,-0.355,2.84,4.611857,1.3246,0.860867,4.100909,9.731875,1.599,5.633,3.555,3.002,2.366,2.202,2.965,5.419,-2.074,-4.462,1.29,3.468,1.611,3.277
1.11951,1.38874,1.08491,1.1995,-1.52733,-0.95482,1.026,0.568,1.0836,-1.91375,-0.297625,4.076286,0.8264,0.3912,3.911212,8.922875,-1.468,4.181,1.744,1.601,1.069,1.136,1.579,1.257,-1.803,-3.241,-0.024,1.982,-0.507,2.288
0.84847,1.51464,1.27375,1.38031,-2.05688,-1.15161,1.294927,1.4555,1.61406,-1.433875,1.628938,5.650543,1.39434,1.471753,4.621945,9.265913,0.807,5.073,2.527,2.016,2.889,1.732,3.244,4.179,-0.782,-4.7,-0.697,2.253,-0.08,1.433
1.63894,1.8855,1.05505,1.56482,-2.38511,-1.34818,2.697053,3.3148,3.23034,0.2078,2.844088,4.951257,0.96236,0.914667,3.642136,8.7319,2.006,5.49,4.416,4.482,4.17,2.906,2.791,2.824,-0.398,-1.049,1.872,3.777,2.688,3.251
0.90916,1.32636,1.03699,1.02798,-1.04923,-0.69708,0.308867,1.1267,1.30472,-0.8158,1.366138,2.640143,-0.07144,0.79454,4.217609,7.469112,-0.051,3.166,2.079,1.459,1.096,0.566,-1.01,4.329,-3.044,-4.752,0.122,1.414,0.266,0.456
1.48467,2.02796,1.05911,1.53623,-2.01842,-1.07624,3.038067,3.8569,3.25618,0.980875,3.481063,5.415357,0.81672,0.7533,2.735288,7.028388,2.407,6.796,5.212,4.777,3.279,3.582,3.449,4.59,-0.137,-0.422,3.287,4.74,3.188,3.948
1.35286,1.8272,0.897,1.53227,-2.23309,-1.13521,2.593946,3.52797,2.672252,0.250582,2.807644,5.259214,1.524722,0.858121,2.698805,7.126574,1.907,5.134,4.324,4.023,2.589,2.786,2.732,2.415,-1.031,-2.011,1.481,3.519,2.173,2.684
1.37885,1.6975,1.03883,1.46496,-2.18514,-1.09835,3.041033,1.5689,2.30444,0.13075,4.16465,4.965286,0.98282,2.226273,3.635503,9.078725,2.855,5.933,2.816,3.081,2.264,2.424,2.353,1.611,1,-2.451,1.01,4.312,2.483,4.198
0.93442,0.96576,0.92819,0.99148,-1.34341,-0.74183,-1.386409,-0.06259,-0.577496,-3.532485,-2.007337,3.383094,-0.766346,0.993753,2.528774,8.251635,-4.818,3.371,1.311,-0.274,-2.387,-0.206,-0.516,0.339,-1.49,-6.035,-2.443,-0.142,-3.195,0.254
1.07474,1.29657,1.03838,1.371,-1.81168,-1.12981,0.991547,1.5884,0.95018,-3.6664,-0.018225,4.982871,0.39112,0.503627,3.476679,9.743562,-0.616,4.308,2.549,1.978,2.173,1.153,2.08,2.342,-0.894,-3.739,-0.899,2.172,0.551,3.748
0.99221,1.38356,1.06489,1.14916,-1.42504,-0.82523,1.029533,0.5988,1.65912,-0.9367,1.330763,3.400657,1.5751,1.19348,4.363973,7.54885,-0.297,3.256,1.092,1.513,1.943,0.446,1.053,0.963,-2.535,-3.627,-0.436,1.39,-0.638,0.124
0.66196,0.99335,0.95765,0.82054,-1.06194,-0.47213,-0.561387,-1.1968,-0.19022,-2.432125,-1.255613,2.0404,-0.74402,1.197327,2.669039,8.4612,-2.867,1.832,0.318,-0.276,-1.33,-0.179,0.006,5.042,-3.053,-6.368,-2.794,-0.105,-1.694,1.312
1.53168,1.79006,1.08627,1.42402,-1.79025,-1.08912,1.967567,3.2746,2.59562,-0.1484,2.14525,5.291314,0.48406,0.090427,2.782079,7.604588,1.3,5.86,4.72,3.649,0.825,2.782,2.73,0.92,-1.171,-2.269,1.841,3.743,2.006,3.196
