Act.CD4,Act.CD8,Tem.CD4,Tem.CD8,MDSC,Treg,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts,Danaher.B.cells,Danaher.CD45,Danaher.CD8.T.cells,Danaher.Cytotoxic.cells,Danaher.DC,Danaher.Exhausted.CD8,Danaher.Macrophages,Danaher.Mast.cells,Danaher.Neutrophils,Danaher.NK.CD56dim.cells,Danaher.NK.cells,Danaher.T.cells,Danaher.Th1.cells,Danaher.Treg
1.10006,1.74254,1.07617,1.50445,-2.11394,-1.16388,2.66684,3.4089,2.8098,-0.422325,1.5615,5.000086,2.36806,1.337427,3.297279,8.792288,0.636,5.281,4.549,3.367,2.7,2.603,3.115,4.437,-1.981,-1.977,0.894,4.039,2.534,4.394
1.48218,1.60661,1.00489,1.26918,-1.78242,-1.01507,1.816819,2.32215,1.771994,-0.671238,0.454769,4.112769,2.327156,-0.119285,3.67971,8.790052,-0.033,4.314,3.417,2.662,2.993,1.943,2.186,1.96,-0.766,-6.753,0.433,2.864,1.353,2.297
0.52021,0.91564,0.90506,0.89046,-1.34847,-0.68261,-0.907067,-1.316,-1.0264,-3.2805,-2.67525,2.622857,-0.517,0.564467,3.222273,8.419375,-4.753,1.498,-0.662,-0.558,0.423,-0.862,-0.071,4.736,-1.485,-7.327,-2.432,-1.295,-2.186,0.888
1.79956,2.12265,1.02779,1.78532,-2.58623,-1.34001,2.955507,4.0822,3.11184,0.054675,4.610437,5.595586,2.07126,0.98974,2.504315,7.834025,4.09,5.376,4.832,4.888,1.574,3.204,2.345,-2.555,0.069,-0.944,1.781,3.777,2.484,3.105
1.29416,2.00707,1.07868,1.60892,-2.2056,-1.08241,2.905733,4.165,3.7162,0.93575,2.90625,4.733143,2.5296,1.193067,3.861455,8.886,2.325,5.509,4.986,4.359,2.671,3.222,1.931,3.298,-0.173,-2.746,3.347,4.055,2.793,4.101
1.04291,1.47032,0.87703,1.01,-1.45106,-0.70205,0.728333,0.966,0.4366,-2.6265,0.66575,3.407286,-1.4386,0.343533,2.819636,6.774125,-0.152,3.343,1.795,1.31,0.179,0.463,1.14,1.821,-2.94,-6.055,-0.656,1.462,0.312,2.326
0.47432,1.0191,1.04709,1.1632,-1.48233,-0.88056,-0.335733,-0.42,-0.4124,-3.416,-1.426625,3.194429,-0.8846,0.418667,4.208121,9.91625,-1.937,2.484,0.798,0.373,0.912,0.196,1.389,5.12,-2.909,-7.032,-4.023,0.454,-1.366,2.001
1.58395,2.25874,1.22302,1.83614,-2.42878,-1.33939,3.96446,5.6122,4.46644,1.55205,5.78665,5.365,2.75536,1.094493,4.44593,9.567575,4.326,7.049,6.471,5.191,3.098,4.325,3.339,4.051,-0.263,-0.568,3.801,5.373,3.894,4.4
1.33808,1.75676,1.09475,1.63805,-2.44478,-1.55835,2.685113,3.0222,2.43052,-0.1836,2.221662,5.575343,1.42366,1.03082,3.498624,9.894575,1.085,5.655,4.391,3.767,4.982,3.276,4.048,1.086,0.785,-1.432,2.303,3.897,2.984,4.427
1.60408,2.00715,1.12143,1.81764,-2.58575,-1.72908,3.6034,4.05765,3.537232,0.312645,3.625669,6.077504,2.33968,1.605023,3.241055,8.909521,2.525,6.325,5.341,4.901,4.634,3.995,4.292,2.436,1.186,-0.626,2.238,4.743,3.706,4.604
1.53901,1.85224,0.97529,1.62881,-2.03694,-1.15654,2.749267,3.3976,3.20788,0.36965,4.520112,4.908243,3.0614,0.48134,3.041221,8.557237,3.207,5.564,4.711,4.676,3.983,3.212,2.838,3.035,-0.161,-0.482,2.556,3.965,3.133,5.007
1.29674,1.92607,0.96644,1.56141,-2.43411,-1.26609,2.645673,4.1588,2.81234,0.06365,3.389425,5.410243,0.921,0.98058,3.348761,9.215513,2.686,5.285,5.138,4.001,2.199,3.285,3.051,2.904,0.084,-0.898,1.828,4.036,2.532,3.925
1.52187,1.24733,1.07219,1.29259,-2.0176,-1.13367,0.3296,-1.801,-0.8034,-2.32525,-0.731125,4.899714,-0.0982,1.076133,2.147697,6.67925,-1.54,3.748,-0.111,1.182,1.108,0.673,2.321,-1.193,1.265,-6.916,-1.317,0.8,-0.193,1.923
1.47094,2.03948,1.11226,1.75944,-2.23961,-1.33124,3.718333,5.779,4.0666,1.235,3.027,5.190714,2.5366,1.4244,4.163091,8.887375,2.536,6.641,6.271,4.62,3.937,3.613,3.299,3.615,0.183,0.751,4.174,5.115,3.37,4.609
0.55908,1.28601,0.93234,1.21943,-1.83155,-1.0327,0.304313,1.6072,0.89358,-2.367925,-1.22285,4.1652,0.28678,0.859793,2.995403,8.903813,-2.649,3.663,2.741,1.79,0.921,1.267,2.456,2.914,-2.424,-4.908,-0.399,1.653,0.069,2.395
1.09012,1.27696,0.83501,1.11261,-1.34132,-0.63286,0.63226,3.9548,0.7255,-2.152,-0.869938,3.334871,0.03998,0.232987,2.358376,6.947425,-1.713,2.965,3.843,1.918,1.21,1.011,0.737,-0.048,-3.439,-5.727,0.235,1.087,0.357,2.35
1.06774,1.14431,0.905,1.07373,-1.34804,-0.76235,-0.247813,1.2591,0.01798,-2.54045,-1.533313,3.442929,-0.51148,-0.014593,2.623318,7.498762,-3.22,3.263,2.399,1.568,0.106,1.172,-0.032,2.224,-2.435,-7.235,-0.332,1.089,0.157,2.26
